# [OII]3727+3729 [OIII]5007 [NII]6584 [SII]6717+6731 Z_direct_method Reference
# **********************************************************************************
# **** Please refer to Pilyugin & Grebel (2016) and Ho (2019) for details of   *****
# **** this compilation and cite corresponding paper(s) should this becomes    *****
# **** useful for your work                                                    *****
# **********************************************************************************
# Pilyugin & Grebel (2016) compilation
2.910    4.404    0.122    0.428    8.003    Izotov1997ApJS108
1.668    4.880    0.076    0.292    7.822    Izotov1997ApJS108
1.261    7.887    0.078    0.168    8.127    Izotov1997ApJS108
0.940    6.838    0.033    0.115    7.961    Izotov1997ApJS108
1.888    4.680    0.058    0.278    7.835    Izotov1997ApJS108
1.785    4.772    0.083    0.328    7.896    Izotov1997ApJS108
0.408    1.906    0.012    0.051    7.132    Izotov1997ApJS108
0.570    3.981    0.016    0.072    7.385    Izotov1997ApJS108
0.968    5.028    0.031    0.163    7.769    Izotov1997ApJS108
1.066    5.948    0.048    0.159    7.967    Izotov1997ApJS108
0.589    4.842    0.027    0.133    7.645    Izotov1997ApJS108
1.333    3.455    0.050    0.178    7.675    Izotov1997ApJS108
0.872    5.801    0.033    0.134    7.724    Izotov1997ApJS108
2.138    3.714    0.083    0.313    7.718    Izotov1997ApJS108
1.169    5.955    0.038    0.155    7.939    Izotov1997ApJS108
0.719    5.543    0.029    0.106    7.735    Izotov1997ApJS108
1.102    5.802    0.046    0.166    7.980    Izotov1997ApJS108
1.022    6.700    0.050    0.180    8.077    Izotov1997ApJS108
2.442    3.282    0.161    0.647    7.904    Izotov1997ApJS108
2.383    3.520    0.150    0.461    8.147    Izotov1997ApJS108
1.672    4.874    0.108    0.264    7.871    Izotov1997ApJS108
1.503    4.927    0.083    0.342    7.994    Izotov1997ApJS108
2.459    3.804    0.122    0.404    7.870    Izotov1997ApJS108
2.035    5.329    0.087    0.284    8.119    Izotov1997ApJS108
2.191    4.689    0.101    0.362    8.067    Izotov1997ApJS108
0.287    1.951    0.009    0.037    7.096    Izotov1998ApJ497
0.591    1.597    0.020    0.070    7.129    Izotov1998ApJ497
1.800    3.975    0.180    0.291    8.352    Izotov1998ApJ500
2.450    4.042    0.277    0.459    7.931    Izotov1998ApJ500
1.302    5.483    0.035    0.169    7.802    Izotov1998ApJ500
0.285    3.058    0.009    0.033    7.240    Izotov1998ApJ500
2.377    2.394    0.346    0.491    8.084    Izotov1998ApJ500
2.129    3.815    0.138    0.399    8.053    Izotov1998ApJ500
1.369    0.319    1.364    0.655    8.043    Izotov1998ApJ500
1.606    6.086    0.091    0.264    7.983    Izotov1998ApJ500
1.293    4.834    0.053    0.201    7.799    Izotov1998ApJ500
3.294    3.682    0.202    0.517    8.151    Izotov1998ApJ500
2.776    2.599    0.409    0.651    8.010    Izotov1998ApJ500
1.701    5.016    0.091    0.283    8.121    Izotov1998ApJ500
0.527    6.022    0.021    0.094    7.762    Izotov1998ApJ500
1.742    4.929    0.073    0.280    7.950    Izotov1998ApJ500
0.678    3.724    0.021    0.096    7.452    Izotov1998ApJ500
1.249    4.604    0.039    0.123    7.693    Izotov1998ApJ500
1.125    3.430    0.035    0.159    7.549    Izotov1998ApJ500
0.577    6.862    0.019    0.085    7.727    Izotov1998ApJ500
2.371    4.170    0.143    0.467    8.077    Izotov1998ApJ500
0.502    1.749    0.015    0.069    7.128    Izotov1999ApJ527
0.674    3.628    0.018    0.110    7.501    Izotov2001ApJ562
0.449    4.043    0.013    0.076    7.444    Izotov2004AA421
0.684    3.277    0.024    0.116    7.416    Izotov2004AA421
1.277    6.278    0.068    0.208    7.691    Izotov2004ApJ602
0.967    7.399    0.079    0.200    8.169    Izotov2004ApJ602
0.914    5.810    0.055    0.175    8.041    Izotov2004ApJ602
0.719    4.484    0.023    0.113    7.564    Izotov2004ApJ602
0.789    7.146    0.071    0.160    8.138    Izotov2004ApJ602
0.652    7.409    0.028    0.132    7.837    Izotov2004ApJ602
1.806    3.751    0.041    0.203    7.653    Izotov2004ApJ602
1.117    6.231    0.082    0.200    8.239    Izotov2004ApJ602
2.322    2.909    0.256    0.406    8.232    Izotov2004ApJ602
1.172    6.548    0.055    0.171    7.956    Izotov2004ApJ602
1.094    5.513    0.032    0.125    7.744    Izotov2004ApJ602
1.564    4.560    0.045    0.191    7.707    Izotov2004ApJ602
1.458    6.097    0.102    0.249    8.023    Izotov2004ApJ602
1.500    5.364    0.059    0.189    8.037    Izotov2004ApJ602
2.509    4.056    0.196    0.277    8.222    Izotov2004ApJ602
1.031    7.149    0.039    0.133    8.115    Izotov2004ApJ602
1.058    8.046    0.044    0.140    8.058    Izotov2004ApJ602
